,,Breakfast,Lunch,Snacks,Dinner,,,,,,,,,,,,,,,,,,,,
,Common,"bread, butter, jam, milk, tea, coffee, sprouts/chana, Veg: Fruit(Based on Market availability), Non-Veg: Boiled Egg(5 times in a week) and Omelette(2 times in a week), Seasonal Fruit","Pickle, papad,mix salad, Onion, White rice, Lemon"," tea, coffee, sugar","Appalam, Mixed Salad, Pickle (Mango/Chili/Mix)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,"Aloo paratha, Ketchup, Curd, seasonal fruit, Mint & Corrainder Chutney","Phulka, Ghee Rice, Aloo Chana Masala, Soya Chilly(Semi-Dry), Rasam, Chutney, ButterMilk",Macroni,"Veg: Paneer Biryani, Non-Veg: Egg Biryani, Raita ,Mutter masala, Chana dal tadka, Phulka, Makkan Peda, White rice",,,,,,,,,,,,,,,,,,,,
,Tuesday,"Upma , Vada , Coriander Chutney,Curd ","Chola, Bhatura, Toor dal fry, watermelon,Green Mix Vegetables (Dry)  Lemon rice, Curd",Dahi  Papdi Chat,"Phulka, White Rice, Methi Dal, Cabaage mutter ,Sambar, Ice-cream",,,,,,,,,,,,,,,,,,,,
,Wednesday,"Puttu, Kadal Curry, Peanut butter (Non Veg:- Omelette)"," Chapathi, Methi Dal,Drumstick Gravy, Dondakaya Dry, Rasam, ButterMilk",Mysore Bonda,"Non Veg: Kadai Chicken ; Veg: Kadai Paneer , pulao, Mix dal, Tawa Butter Naan, mango pickle, Lemon",,,,,,,,,,,,,,,,,,,,
,Thrusday,"Mini Chola Bhatura, seasonal fruit","Chapathi,Mutter Paneer Masala,Coriander Rice,Kollu Rasam, Potato Chips, Dalpodhi, Curd",Cutlet & Tomato Ketchup,"Arhar Dal tadka, Aloo fry , Kadhi Pakoda, White rice, Chapati, Mysore Pak",,,,,,,,,,,,,,,,,,,,
,Friday,"Podi Dosa, Sambar, Tomato Chutney Peanut Butter","Phulka, Navadhanya Masala, Sambar,Green Mix Veg (without Aaloo) Rasam, Watermelon Juice",Pani Puri,"Non Veg: Chicken Gravy; Veg: Paneer Butter masala, pulao, Mix dal, Chapathi, Fruit Vermicelli Sheera",,,,,,,,,,,,,,,,,,,,
,Saturday,"Mix-veg Paratha , Mint Chutney , Curd, Ketchup (Non Veg:- Omelette)","Chapathi, Green Peas Pulav, Spinach Dal, Gobhi Cpsicum Dry Butter Masala, Cabbage Chutney, Masala Butter Milk","Samosa, Tomato ketchup, Cold Coffee","Dal makhani, Aalo Brinjal(Dry) ,Sambar, Phulka, White Rice, Kheer",,,,,,,,,,,,,,,,,,,,
,Sunday,"Andhra Kara Dosa, Peanut Chutney, Sambar","Puri, Briyani rice, Non-Veg: Chicken Masala(Spicy), Veg: Paneer Masala(Spicy), Chana dal tadka, Raita, Fruit Juice",Pav Bhaji,"Phulka,Baby Aloo Masala,Soya Chilli (Semi Dry), White Rice,dal(thick) ,Rasam ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Week 2 and 4,,Everything is veg unless mentioned otherwise,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
